mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP,mean_overlapping_bboxes_test,class_acc_test,loss_rpn_cls_test,loss_rpn_regr_test,loss_class_cls_test,loss_class_regr_test,curr_loss_test,elapsed_time_test,mAP_test
13.652,0.886,0.0,0.0,0.266,0.615,0.881,8.72,0.0,14.333,0.888,0.0,0.0,0.262,0.59,0.852,1.007,0.0
13.692,0.888,0.0,0.0,0.263,0.57,0.833,8.786,0.0,15.469,0.888,0.0,0.0,0.261,0.558,0.82,1.024,0.0
14.056,0.893,0.0,0.0,0.253,0.551,0.804,8.89,0.0,14.134,0.894,0.0,0.0,0.251,0.534,0.785,0.961,0.0
13.91,0.898,0.0,0.0,0.241,0.504,0.745,8.744,0.0,13.792,0.899,0.0,0.0,0.237,0.496,0.734,0.94,0.0
13.722,0.901,0.0,0.0,0.236,0.504,0.741,8.646,0.0,14.031,0.901,0.0,0.0,0.236,0.488,0.723,0.957,0.0
13.725,0.898,0.0,0.0,0.236,0.488,0.724,8.7,0.0,13.392,0.899,0.0,0.0,0.234,0.485,0.719,0.903,0.0
14.203,0.898,0.0,0.0,0.24,0.468,0.708,9.02,0.0,12.485,0.898,0.0,0.0,0.239,0.464,0.703,0.937,0.0
14.263,0.918,0.0,0.0,0.196,0.354,0.55,8.779,0.0,15.229,0.921,0.0,0.0,0.191,0.347,0.538,0.921,0.0
13.959,0.907,0.0,0.0,0.221,0.439,0.659,8.88,0.0,13.928,0.911,0.0,0.0,0.214,0.436,0.65,0.845,0.0
13.711,0.908,0.0,0.0,0.216,0.441,0.657,8.702,0.0,14.052,0.911,0.0,0.0,0.21,0.429,0.64,0.829,0.0
13.585,0.904,0.0,0.0,0.224,0.437,0.661,8.974,0.0,14.333,0.907,0.0,0.0,0.221,0.427,0.648,0.897,0.0
13.809,0.914,0.0,0.0,0.212,0.437,0.649,9.005,0.0,15.469,0.915,0.0,0.0,0.208,0.428,0.637,0.928,0.0
13.899,0.911,0.0,0.0,0.209,0.409,0.618,8.686,0.0,14.134,0.913,0.0,0.0,0.206,0.397,0.603,0.895,0.0
13.965,0.92,0.0,0.0,0.189,0.395,0.584,8.801,0.0,13.792,0.922,0.0,0.0,0.184,0.38,0.565,0.823,0.0
13.919,0.921,0.0,0.0,0.193,0.39,0.583,8.661,0.0,14.031,0.924,0.0,0.0,0.19,0.379,0.57,0.847,0.0
13.966,0.916,0.0,0.0,0.195,0.378,0.573,8.784,0.0,13.392,0.918,0.0,0.0,0.192,0.37,0.561,0.807,0.0
13.885,0.922,0.0,0.0,0.189,0.365,0.554,8.739,0.0,12.485,0.925,0.0,0.0,0.184,0.351,0.535,0.887,0.0
14.536,0.94,0.0,0.0,0.152,0.289,0.441,8.735,0.0,15.229,0.942,0.0,0.0,0.148,0.284,0.432,0.937,0.0
13.388,0.927,0.0,0.0,0.183,0.356,0.539,8.733,0.0,13.928,0.93,0.0,0.0,0.177,0.35,0.527,0.869,0.0
14.008,0.926,0.0,0.0,0.185,0.37,0.555,8.516,0.0,14.052,0.928,0.0,0.0,0.179,0.361,0.54,0.81,0.0
13.589,0.924,0.0,0.0,0.186,0.369,0.555,9.185,0.0,14.333,0.928,0.0,0.0,0.175,0.352,0.527,0.913,0.0
13.787,0.929,0.0,0.0,0.181,0.375,0.555,9.131,0.0,15.469,0.929,0.0,0.0,0.179,0.363,0.542,0.927,0.0
13.853,0.927,0.0,0.0,0.18,0.349,0.53,8.769,0.0,14.134,0.929,0.0,0.0,0.176,0.337,0.513,0.87,0.0
13.932,0.936,0.0,0.0,0.16,0.332,0.492,8.642,0.0,13.792,0.938,0.0,0.0,0.154,0.32,0.474,0.819,0.0
13.962,0.933,0.0,0.0,0.16,0.462,0.623,8.694,0.0,14.031,0.934,0.0,0.0,0.159,0.454,0.613,0.853,0.0
14.15,0.933,0.0,0.0,0.165,0.323,0.487,9.026,0.0,13.392,0.934,0.0,0.0,0.163,0.314,0.477,0.824,0.0
13.848,0.94,0.0,0.0,0.151,0.291,0.442,8.672,0.0,12.485,0.944,0.0,0.0,0.142,0.283,0.426,0.901,0.0
14.322,0.953,0.0,0.0,0.122,0.244,0.366,8.783,0.0,15.229,0.955,0.0,0.0,0.119,0.241,0.36,0.951,0.0
13.487,0.94,0.0,0.0,0.15,0.308,0.458,8.761,0.0,13.928,0.942,0.0,0.0,0.146,0.299,0.445,0.86,0.0
13.906,0.94,0.0,0.0,0.157,0.329,0.486,8.446,0.0,14.052,0.943,0.0,0.0,0.146,0.317,0.463,0.802,0.0
13.662,0.939,0.0,0.0,0.156,0.324,0.48,8.659,0.0,14.333,0.943,0.0,0.0,0.147,0.313,0.46,0.85,0.0
13.755,0.938,0.0,0.0,0.151,0.323,0.474,8.718,0.0,15.469,0.94,0.0,0.0,0.147,0.314,0.462,0.906,0.0
13.831,0.943,0.0,0.0,0.145,0.307,0.452,8.661,0.0,14.134,0.946,0.0,0.0,0.138,0.294,0.432,0.878,0.0
13.882,0.948,0.0,0.0,0.135,0.289,0.424,8.592,0.0,13.792,0.952,0.0,0.0,0.125,0.276,0.401,0.865,0.0
14.153,0.942,0.0,0.0,0.152,0.307,0.459,8.905,0.0,14.031,0.944,0.0,0.0,0.147,0.296,0.443,0.873,0.0
13.943,0.943,0.0,0.0,0.145,0.322,0.467,9.132,0.0,13.392,0.945,0.0,0.0,0.142,0.319,0.461,0.898,0.0
14.028,0.95,0.0,0.0,0.131,0.257,0.389,9.434,0.0,12.485,0.952,0.0,0.0,0.126,0.245,0.371,0.943,0.0
14.228,0.962,0.0,0.0,0.101,0.226,0.327,9.357,0.0,15.229,0.964,0.0,0.0,0.097,0.222,0.32,0.976,0.0
13.413,0.951,0.0,0.0,0.124,0.269,0.393,9.106,0.0,13.928,0.952,0.0,0.0,0.123,0.263,0.386,0.906,0.0
14.015,0.95,0.0,0.0,0.131,0.296,0.427,9.295,0.0,14.052,0.951,0.0,0.0,0.127,0.291,0.418,0.868,0.0
13.709,0.949,0.0,0.0,0.13,0.29,0.419,9.436,0.0,14.333,0.952,0.0,0.0,0.122,0.281,0.403,0.872,0.0
13.857,0.95,0.0,0.0,0.126,0.297,0.423,9.065,0.0,15.469,0.951,0.0,0.0,0.124,0.29,0.414,1.023,0.0
13.745,0.95,0.0,0.0,0.125,0.264,0.389,9.513,0.0,14.134,0.951,0.0,0.0,0.122,0.256,0.378,0.922,0.0
13.827,0.958,0.0,0.0,0.109,0.257,0.366,9.273,0.0,13.792,0.961,0.0,0.0,0.103,0.246,0.349,0.847,0.0
13.922,0.956,0.0,0.0,0.119,0.262,0.381,8.675,0.0,14.031,0.958,0.0,0.0,0.113,0.253,0.365,0.851,0.0
14.403,0.949,0.0,0.0,0.132,0.333,0.465,9.016,0.0,13.392,0.95,0.0,0.0,0.127,0.327,0.455,0.805,0.0
13.899,0.958,0.0,0.0,0.107,0.232,0.339,8.768,0.0,12.485,0.962,0.0,0.0,0.101,0.224,0.325,0.889,0.0
14.129,0.969,0.0,0.0,0.086,0.213,0.299,8.633,0.0,15.229,0.969,0.0,0.0,0.086,0.213,0.299,0.927,0.0
13.279,0.958,0.0,0.0,0.111,0.26,0.37,8.558,0.0,13.928,0.959,0.0,0.0,0.108,0.255,0.363,0.854,0.0
14.109,0.954,0.0,0.0,0.125,0.282,0.407,8.68,0.0,14.052,0.956,0.0,0.0,0.119,0.273,0.393,0.812,0.0
13.75,0.961,0.0,0.0,0.105,0.262,0.367,8.821,0.0,14.333,0.962,0.0,0.0,0.1,0.255,0.355,0.871,0.0
13.818,0.954,0.0,0.0,0.115,0.273,0.388,8.705,0.0,15.469,0.955,0.0,0.0,0.112,0.267,0.38,0.918,0.0
13.702,0.956,0.0,0.0,0.114,0.255,0.369,8.688,0.0,14.134,0.959,0.0,0.0,0.109,0.248,0.356,0.873,0.0
13.912,0.962,0.0,0.0,0.098,0.237,0.334,8.564,0.0,13.792,0.964,0.0,0.0,0.093,0.234,0.327,0.817,0.0
